Source: https://en.wikipedia.org/wiki/Belmont_Stakes;;;;;
Belmont Stakes winners since 1867;;;;;
Year;Winner;Jockey;Trainer;Owner;Time
1890;Burlington;"Shelby ""Pike"" Barnes";Albert Cooper;Hough Bros.;02:07.8
1889;Eric;William Hayward;John Huggins;A. J. Cassatt;02:47.3
1888;Sir Dixon;Jim McLaughlin;Frank McCabe;Dwyer Bros. Stable;02:40.3
1887;Hanover;;;;02:43.5
1886;Inspector B;;;;02:41.0
1885;Tyrant;Paul Duffy;C. Claypool;James B. A. Haggin;02:43.0
1884;Panique;Jim McLaughlin;James G. Rowe Sr.;Dwyer Bros. Stable;02:42.0
1883;George Kinney;;;;02:42.5
1882;Forester;;Lewis Stuart;Appleby & Johnson;02:43.0
1881;Saunterer;Tom Costello;R. Wyndham Walden;George L. Lorillard;02:47.0
1880;Grenada;W. Hughes;;;02:47.0
1879;Spendthrift;George Evans;Thomas Puryear;James R. Keene;02:42.7
1878;Duke of Magenta;W. Hughes;R. Wyndham Walden;George L. Lorillard;02:43.5
1877;Cloverbrook;C. Holloway;Jeter Walden;E. A. Clabaugh;02:46.0
1876;Algerine;Billy Donohue;Thomas W. Doswell;Doswell & Co.;02:40.5
1875;Calvin;Bobby Swim;Ansel Williamson;Hal P. McGrath;02:42.3
1874;Saxon;George Barbee;William Pryor;Pierre Lorillard IV;02:39.5
1873;Springbok;James G. Rowe Sr.;David McDaniel;David McDaniel;03:01.7
1872;Joe Daniels;;;;02:58.2
1871;Harry Bassett;W. Miller;;;02:56.0
1870;Kingfisher;Edward D. Brown;Raleigh Colston Sr.;Daniel Swigert;02:59.5
1869;Fenian;C. Miller;Jacob Pincus;August Belmont;03:04.3
1868;General Duke;Bobby Swim;A. Thompson;McConnell & Co.;03:02.0
1867;Ruthless;Gilbert Patrick;A. Jack Minor;Francis Morris;03:05.0
