,team,player_number,club,position,fifa_name,birth,name,height,weight
528,Portugal,23,Leicester City FC (ENG),MF,ADRIEN SILVA,1989-03-15,ADRIEN,176,72
529,Russia,1,CSKA Moscow (RUS),GK,AKINFEEV Igor,1986-08-04,AKINFEEV,185,83
530,Russia,2,CSKA Moscow (RUS),DF,MARIO FERNANDES,1990-09-19,FERNANDES,187,79
531,Russia,3,FC Spartak Moscow (RUS),DF,KUTEPOV Ilya,1993-07-29,KUTEPOV,190,82
532,Russia,4,CSKA Moscow (RUS),DF,IGNASHEVICH Sergey,1979-07-14,IGNASHEVICH,186,84
533,Russia,5,FC Akhmat Grozny (RUS),DF,SEMENOV Andrey,1989-03-24,SEMENOV,191,87
534,Russia,6,Villarreal CF (ESP),MF,CHERYSHEV Denis,1990-12-26,CHERYSHEV,173,68
535,Russia,7,FC Zenit St. Petersburg (RUS),MF,KUZIAEV Daler,1993-01-15,KUZIAEV,182,74
536,Russia,8,FC Krasnodar (RUS),MF,GAZINSKY Iury,1989-07-20,GAZINSKII,180,75
537,Russia,9,CSKA Moscow (RUS),MF,DZAGOEV Alan,1990-06-17,DZAGOEV,178,73
538,Russia,10,FC Krasnodar (RUS),FW,SMOLOV Fedor,1990-09-02,SMOLOV,185,79
539,Russia,11,FC Spartak Moscow (RUS),MF,ZOBNIN Roman,1994-11-02,ZOBNIN,185,77
540,Russia,12,FC Zenit St. Petersburg (RUS),GK,LUNEV Andrei,1991-11-13,LUNEV,189,80
541,Russia,13,FC Rubin Kazan (RUS),DF,KUDRIASHOV Fedor,1987-05-04,KUDRIASHOV,187,78
542,Russia,14,FC Rubin Kazan (RUS),DF,GRANAT Vladimir,1987-05-22,GRANAT,184,80
543,Russia,15,FC Lokomotiv Moscow (RUS),MF,MIRANCHUK Alexey,1995-10-17,MIRANCHUK AL.,185,77
544,Russia,16,FC Lokomotiv Moscow (RUS),MF,MIRANCHUK Anton,1995-10-17,MIRANCHUK AN.,182,67
545,Russia,17,CSKA Moscow (RUS),MF,GOLOVIN Aleksandr,1996-05-30,GOLOVIN,178,70
546,Russia,18,FC Zenit St. Petersburg (RUS),MF,ZHIRKOV Yury,1983-08-20,ZHIRKOV,180,76
547,Russia,19,FC Spartak Moscow (RUS),MF,SAMEDOV Alexander,1984-07-19,SAMEDOV,178,74
548,Russia,20,Club Brugge KV (BEL),GK,GABULOV Vladimir,1983-10-19,GABULOV,190,81
549,Russia,21,FC Zenit St. Petersburg (RUS),MF,EROKHIN Aleksandr,1989-10-13,EROKHIN,191,79
550,Russia,22,FC Arsenal Tula (RUS),FW,DZYUBA Artem,1988-08-22,DZYUBA,196,90
551,Russia,23,FC Zenit St. Petersburg (RUS),DF,SMOLNIKOV Igor,1988-08-08,SMOLNIKOV,179,72
552,Saudi Arabia,1,Al Hilal SFC (KSA),GK,ABDULLAH ALMUAIOUF,1987-01-23,ABDULLAH,178,98
553,Saudi Arabia,2,Al Ahli SC (KSA),DF,MANSOUR ALHARBI,1987-10-19,MANSOUR,173,68
554,Saudi Arabia,3,Al Hilal SFC (KSA),DF,OSAMA HAWSAWI,1984-03-31,OSAMA,188,83
555,Saudi Arabia,4,Al Hilal SFC (KSA),DF,ALI ALBULAYHI,1989-11-21,ALI,182,83
556,Saudi Arabia,5,Al Nassr FC (KSA),DF,OMAR OTHMAN,1985-09-27,OMAR,185,76
557,Saudi Arabia,6,Al Hilal SFC (KSA),DF,MOHAMMED ALBURAYK,1992-09-15,ALBURAYK,173,61
558,Saudi Arabia,7,Al Hilal SFC (KSA),MF,SALMAN ALFARAJ,1989-01-08,SALMAN,179,63
559,Saudi Arabia,8,CD Leganés (ESP),MF,YAHIA ALSHEHRI,1990-06-26,YAHIA,165,63
560,Saudi Arabia,9,Al Shabab FC (KSA),MF,HATAN BAHBIR,1992-07-16,HATAN,170,66
561,Saudi Arabia,10,Al Nassr FC (KSA),FW,MOHAMMED ALSAHLAWI,1987-10-01,ALSAHLAWI,179,75
562,Saudi Arabia,11,Al Hilal SFC (KSA),MF,ABDULMALEK ALKHAIBRI,1986-03-13,ABDULMALEK,177,73
563,Saudi Arabia,12,Al Hilal SFC (KSA),MF,MOHAMED KANNO,1994-09-22,KANNO,192,73
564,Saudi Arabia,13,Al Hilal SFC (KSA),DF,YASIR ALSHAHRANI,1992-05-25,YASIR,170,63
565,Saudi Arabia,14,Al Hilal SFC (KSA),MF,ABDULLAH OTAYF,1992-03-08,OTAYF,177,66
566,Saudi Arabia,15,Al Shabab FC (KSA),MF,ABDULLAH ALKHAIBARI,1996-08-16,ALKHAIBARI,175,66
567,Saudi Arabia,16,Al Ahli SC (KSA),MF,HUSSAIN ALMOQAHWI,1988-03-24,HUSSAIN,174,76
568,Saudi Arabia,17,Al Ahli SC (KSA),MF,TAISEER ALJASSAM,1984-07-25,TAISEER,169,69
