datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
5402,14,10,15,15-Oct-0014 00:00:00,0,0,0
5433,14,11,15,15-Nov-0014 00:00:00,0,0,0
5463,14,12,15,15-Dec-0014 00:00:00,0,0,0
5494,15,1,15,15-Jan-0015 00:00:00,0,0,0
5525,15,2,15,15-Feb-0015 00:00:00,0,0,0
5553,15,3,15,15-Mar-0015 00:00:00,0,0,0
5584,15,4,15,15-Apr-0015 00:00:00,0,0,0
5614,15,5,15,15-May-0015 00:00:00,0,0,0
5645,15,6,15,15-Jun-0015 00:00:00,0,0,0
5675,15,7,15,15-Jul-0015 00:00:00,0,0,0
5706,15,8,15,15-Aug-0015 00:00:00,0,0,0
5737,15,9,15,15-Sep-0015 00:00:00,0,0,0
5767,15,10,15,15-Oct-0015 00:00:00,0,0,0
5798,15,11,15,15-Nov-0015 00:00:00,0,0,0
5828,15,12,15,15-Dec-0015 00:00:00,0,0,0
5859,16,1,15,15-Jan-0016 00:00:00,0,0,0
5890,16,2,15,15-Feb-0016 00:00:00,0,0,0
5919,16,3,15,15-Mar-0016 00:00:00,0,0,0
5950,16,4,15,15-Apr-0016 00:00:00,0,0,0
5980,16,5,15,15-May-0016 00:00:00,0,0,0
6011,16,6,15,15-Jun-0016 00:00:00,0,0,0
6041,16,7,15,15-Jul-0016 00:00:00,0,0,0
6072,16,8,15,15-Aug-0016 00:00:00,0,0,0
6103,16,9,15,15-Sep-0016 00:00:00,0,0,0
6133,16,10,15,15-Oct-0016 00:00:00,0,0,0
6164,16,11,15,15-Nov-0016 00:00:00,0,0,0
6194,16,12,15,15-Dec-0016 00:00:00,0,0,0
6225,17,1,15,15-Jan-0017 00:00:00,0,0,0
6256,17,2,15,15-Feb-0017 00:00:00,0,0,0
6284,17,3,15,15-Mar-0017 00:00:00,0,0,0
6315,17,4,15,15-Apr-0017 00:00:00,0,0,0
6345,17,5,15,15-May-0017 00:00:00,0,0,0
6376,17,6,15,15-Jun-0017 00:00:00,0,0,0
6406,17,7,15,15-Jul-0017 00:00:00,0,0,0
6437,17,8,15,15-Aug-0017 00:00:00,0,0,0
6468,17,9,15,15-Sep-0017 00:00:00,0,0,0
6498,17,10,15,15-Oct-0017 00:00:00,0,0,0
6529,17,11,15,15-Nov-0017 00:00:00,0,0,0
6559,17,12,15,15-Dec-0017 00:00:00,0,0,0
6590,18,1,15,15-Jan-0018 00:00:00,0,0,0
6621,18,2,15,15-Feb-0018 00:00:00,0,0,0
6649,18,3,15,15-Mar-0018 00:00:00,0,0,0
6680,18,4,15,15-Apr-0018 00:00:00,0,0,0
6710,18,5,15,15-May-0018 00:00:00,0,0,0
6741,18,6,15,15-Jun-0018 00:00:00,0,0,0
6771,18,7,15,15-Jul-0018 00:00:00,0,0,0
6802,18,8,15,15-Aug-0018 00:00:00,0,0,0
6833,18,9,15,15-Sep-0018 00:00:00,0,0,0
6863,18,10,15,15-Oct-0018 00:00:00,0,0,0
6894,18,11,15,15-Nov-0018 00:00:00,0,0,0
6924,18,12,15,15-Dec-0018 00:00:00,0,0,0
6955,19,1,15,15-Jan-0019 00:00:00,0,0,0
6986,19,2,15,15-Feb-0019 00:00:00,0,0,0
7014,19,3,15,15-Mar-0019 00:00:00,0,0,0
7045,19,4,15,15-Apr-0019 00:00:00,0,0,0
7075,19,5,15,15-May-0019 00:00:00,0,0,0
7106,19,6,15,15-Jun-0019 00:00:00,0,0,0
7136,19,7,15,15-Jul-0019 00:00:00,0,0,0
7167,19,8,15,15-Aug-0019 00:00:00,0,0,0
7198,19,9,15,15-Sep-0019 00:00:00,0,0,0
7228,19,10,15,15-Oct-0019 00:00:00,0,0,0
7259,19,11,15,15-Nov-0019 00:00:00,0,0,0
7289,19,12,15,15-Dec-0019 00:00:00,0,0,0
7320,20,1,15,15-Jan-0020 00:00:00,0,0,0
7351,20,2,15,15-Feb-0020 00:00:00,0,0,0
7380,20,3,15,15-Mar-0020 00:00:00,0,0,0
7411,20,4,15,15-Apr-0020 00:00:00,0,0,0
7441,20,5,15,15-May-0020 00:00:00,0,0,0
7472,20,6,15,15-Jun-0020 00:00:00,0,0,0
7502,20,7,15,15-Jul-0020 00:00:00,0,0,0
7533,20,8,15,15-Aug-0020 00:00:00,0,0,0
7564,20,9,15,15-Sep-0020 00:00:00,0,0,0
7594,20,10,15,15-Oct-0020 00:00:00,0,0,0
7625,20,11,15,15-Nov-0020 00:00:00,0,0,0
7655,20,12,15,15-Dec-0020 00:00:00,0,0,0
7686,21,1,15,15-Jan-0021 00:00:00,0,0,0
7717,21,2,15,15-Feb-0021 00:00:00,0,0,0
7745,21,3,15,15-Mar-0021 00:00:00,0,0,0
7776,21,4,15,15-Apr-0021 00:00:00,0,0,0
7806,21,5,15,15-May-0021 00:00:00,0,0,0
7837,21,6,15,15-Jun-0021 00:00:00,0,0,0
7867,21,7,15,15-Jul-0021 00:00:00,0,0,0
7898,21,8,15,15-Aug-0021 00:00:00,0,0,0
7929,21,9,15,15-Sep-0021 00:00:00,0,0,0
7959,21,10,15,15-Oct-0021 00:00:00,0,0,0
7990,21,11,15,15-Nov-0021 00:00:00,0,0,0
8020,21,12,15,15-Dec-0021 00:00:00,0,0,0
8051,22,1,15,15-Jan-0022 00:00:00,0,0,0
8082,22,2,15,15-Feb-0022 00:00:00,0,0,0
8110,22,3,15,15-Mar-0022 00:00:00,0,0,0
8141,22,4,15,15-Apr-0022 00:00:00,0,0,0
8171,22,5,15,15-May-0022 00:00:00,0,0,0
8202,22,6,15,15-Jun-0022 00:00:00,0,0,0
8232,22,7,15,15-Jul-0022 00:00:00,0,0,0
8263,22,8,15,15-Aug-0022 00:00:00,0,0,0
8294,22,9,15,15-Sep-0022 00:00:00,0,0,0
8324,22,10,15,15-Oct-0022 00:00:00,0,0,0
8355,22,11,15,15-Nov-0022 00:00:00,0,0,0
8385,22,12,15,15-Dec-0022 00:00:00,0,0,0
8416,23,1,15,15-Jan-0023 00:00:00,0,0,0
8447,23,2,15,15-Feb-0023 00:00:00,0,0,0
8475,23,3,15,15-Mar-0023 00:00:00,0,0,0
8506,23,4,15,15-Apr-0023 00:00:00,0,0,0
8536,23,5,15,15-May-0023 00:00:00,0,0,0
8567,23,6,15,15-Jun-0023 00:00:00,0,0,0
8597,23,7,15,15-Jul-0023 00:00:00,0,0,0
8628,23,8,15,15-Aug-0023 00:00:00,0,0,0
8659,23,9,15,15-Sep-0023 00:00:00,0,0,0
8689,23,10,15,15-Oct-0023 00:00:00,0,0,0
8720,23,11,15,15-Nov-0023 00:00:00,0,0,0
8750,23,12,15,15-Dec-0023 00:00:00,0,0,0
8781,24,1,15,15-Jan-0024 00:00:00,0,0,0
8812,24,2,15,15-Feb-0024 00:00:00,0,0,0
8841,24,3,15,15-Mar-0024 00:00:00,0,0,0
8872,24,4,15,15-Apr-0024 00:00:00,0,0,0
8902,24,5,15,15-May-0024 00:00:00,0,0,0
8933,24,6,15,15-Jun-0024 00:00:00,0,0,0
8963,24,7,15,15-Jul-0024 00:00:00,0,0,0
8994,24,8,15,15-Aug-0024 00:00:00,0,0,0
9025,24,9,15,15-Sep-0024 00:00:00,0,0,0
9055,24,10,15,15-Oct-0024 00:00:00,0,0,0
9086,24,11,15,15-Nov-0024 00:00:00,0,0,0
9116,24,12,15,15-Dec-0024 00:00:00,0,0,0
9147,25,1,15,15-Jan-0025 00:00:00,0,0,0
9178,25,2,15,15-Feb-0025 00:00:00,0,0,0
9206,25,3,15,15-Mar-0025 00:00:00,0,0,0
9237,25,4,15,15-Apr-0025 00:00:00,0,0,0
9267,25,5,15,15-May-0025 00:00:00,0,0,0
9298,25,6,15,15-Jun-0025 00:00:00,0,0,0
9328,25,7,15,15-Jul-0025 00:00:00,0,0,0
9359,25,8,15,15-Aug-0025 00:00:00,0,0,0
9390,25,9,15,15-Sep-0025 00:00:00,0,0,0
9420,25,10,15,15-Oct-0025 00:00:00,0,0,0
9451,25,11,15,15-Nov-0025 00:00:00,0,0,0
9481,25,12,15,15-Dec-0025 00:00:00,0,0,0
9512,26,1,15,15-Jan-0026 00:00:00,0,0,0
9543,26,2,15,15-Feb-0026 00:00:00,0,0,0
9571,26,3,15,15-Mar-0026 00:00:00,0,0,0
9602,26,4,15,15-Apr-0026 00:00:00,0,0,0
9632,26,5,15,15-May-0026 00:00:00,0,0,0
9663,26,6,15,15-Jun-0026 00:00:00,0,0,0
9693,26,7,15,15-Jul-0026 00:00:00,0,0,0
9724,26,8,15,15-Aug-0026 00:00:00,0,0,0
9755,26,9,15,15-Sep-0026 00:00:00,0,0,0
9785,26,10,15,15-Oct-0026 00:00:00,0,0,0
9816,26,11,15,15-Nov-0026 00:00:00,0,0,0
9846,26,12,15,15-Dec-0026 00:00:00,0,0,0
9877,27,1,15,15-Jan-0027 00:00:00,0,0,0
9908,27,2,15,15-Feb-0027 00:00:00,0,0,0
9936,27,3,15,15-Mar-0027 00:00:00,0,0,0
9967,27,4,15,15-Apr-0027 00:00:00,0,0,0
9997,27,5,15,15-May-0027 00:00:00,0,0,0
10028,27,6,15,15-Jun-0027 00:00:00,0,0,0
10058,27,7,15,15-Jul-0027 00:00:00,0,0,0
10089,27,8,15,15-Aug-0027 00:00:00,0,0,0
10120,27,9,15,15-Sep-0027 00:00:00,0,0,0
10150,27,10,15,15-Oct-0027 00:00:00,0,0,0
10181,27,11,15,15-Nov-0027 00:00:00,0,0,0
10211,27,12,15,15-Dec-0027 00:00:00,0,0,0
10242,28,1,15,15-Jan-0028 00:00:00,0,0,0
10273,28,2,15,15-Feb-0028 00:00:00,0,0,0
10302,28,3,15,15-Mar-0028 00:00:00,0,0,0
10333,28,4,15,15-Apr-0028 00:00:00,0,0,0
10363,28,5,15,15-May-0028 00:00:00,0,0,0
10394,28,6,15,15-Jun-0028 00:00:00,0,0,0
10424,28,7,15,15-Jul-0028 00:00:00,0,0,0
10455,28,8,15,15-Aug-0028 00:00:00,0,0,0
10486,28,9,15,15-Sep-0028 00:00:00,0,0,0
10516,28,10,15,15-Oct-0028 00:00:00,0,0,0
10547,28,11,15,15-Nov-0028 00:00:00,0,0,0
10577,28,12,15,15-Dec-0028 00:00:00,0,0,0
10608,29,1,15,15-Jan-0029 00:00:00,0,0,0
10639,29,2,15,15-Feb-0029 00:00:00,0,0,0
10667,29,3,15,15-Mar-0029 00:00:00,0,0,0
10698,29,4,15,15-Apr-0029 00:00:00,0,0,0
10728,29,5,15,15-May-0029 00:00:00,0,0,0
10759,29,6,15,15-Jun-0029 00:00:00,0,0,0
10789,29,7,15,15-Jul-0029 00:00:00,0,0,0
10820,29,8,15,15-Aug-0029 00:00:00,0,0,0
10851,29,9,15,15-Sep-0029 00:00:00,0,0,0
10881,29,10,15,15-Oct-0029 00:00:00,0,0,0
10912,29,11,15,15-Nov-0029 00:00:00,0,0,0
10942,29,12,15,15-Dec-0029 00:00:00,0,0,0
10973,30,1,15,15-Jan-0030 00:00:00,0,0,0
11004,30,2,15,15-Feb-0030 00:00:00,0,0,0
11032,30,3,15,15-Mar-0030 00:00:00,0,0,0
11063,30,4,15,15-Apr-0030 00:00:00,0,0,0
11093,30,5,15,15-May-0030 00:00:00,0,0,0
11124,30,6,15,15-Jun-0030 00:00:00,0,0,0
11154,30,7,15,15-Jul-0030 00:00:00,0,0,0
11185,30,8,15,15-Aug-0030 00:00:00,0,0,0
11216,30,9,15,15-Sep-0030 00:00:00,0,0,0
11246,30,10,15,15-Oct-0030 00:00:00,0,0,0
11277,30,11,15,15-Nov-0030 00:00:00,0,0,0
11307,30,12,15,15-Dec-0030 00:00:00,0,0,0
11338,31,1,15,15-Jan-0031 00:00:00,0,0,0
11369,31,2,15,15-Feb-0031 00:00:00,0,0,0
11397,31,3,15,15-Mar-0031 00:00:00,0,0,0
11428,31,4,15,15-Apr-0031 00:00:00,0,0,0
11458,31,5,15,15-May-0031 00:00:00,0,0,0
11489,31,6,15,15-Jun-0031 00:00:00,0,0,0
11519,31,7,15,15-Jul-0031 00:00:00,0,0,0
11550,31,8,15,15-Aug-0031 00:00:00,0,0,0
11581,31,9,15,15-Sep-0031 00:00:00,0,0,0
11611,31,10,15,15-Oct-0031 00:00:00,0,0,0
11642,31,11,15,15-Nov-0031 00:00:00,0,0,0
11672,31,12,15,15-Dec-0031 00:00:00,0,0,0
11703,32,1,15,15-Jan-0032 00:00:00,0,0,0
11734,32,2,15,15-Feb-0032 00:00:00,0,0,0
11763,32,3,15,15-Mar-0032 00:00:00,0,0,0
11794,32,4,15,15-Apr-0032 00:00:00,0,0,0
11824,32,5,15,15-May-0032 00:00:00,0,0,0
11855,32,6,15,15-Jun-0032 00:00:00,0,0,0
11885,32,7,15,15-Jul-0032 00:00:00,0,0,0
11916,32,8,15,15-Aug-0032 00:00:00,0,0,0
11947,32,9,15,15-Sep-0032 00:00:00,0,0,0
11977,32,10,15,15-Oct-0032 00:00:00,0,0,0
12008,32,11,15,15-Nov-0032 00:00:00,0,0,0
12038,32,12,15,15-Dec-0032 00:00:00,0,0,0
12069,33,1,15,15-Jan-0033 00:00:00,0,0,0
12100,33,2,15,15-Feb-0033 00:00:00,0,0,0
12128,33,3,15,15-Mar-0033 00:00:00,0,0,0
12159,33,4,15,15-Apr-0033 00:00:00,0,0,0
12189,33,5,15,15-May-0033 00:00:00,0,0,0
12220,33,6,15,15-Jun-0033 00:00:00,0,0,0
12250,33,7,15,15-Jul-0033 00:00:00,0,0,0
12281,33,8,15,15-Aug-0033 00:00:00,0,0,0
12312,33,9,15,15-Sep-0033 00:00:00,0,0,0
