,co2,relative_temp
1875-06-15,289.123526394616,-0.233
1875-07-15,287.50087464444,-0.299
1875-08-15,285.918023194133,-0.18
1875-09-15,285.897481593912,-0.268
1875-10-15,286.95359950683104,-0.363
1875-11-15,287.97635770778,-0.503
1875-12-15,288.63045624372,-0.506
1876-01-15,289.108053378383,-0.315
1876-02-15,289.505587510005,-0.27899999999999997
1876-03-15,289.861236149194,-0.38799999999999996
1876-04-15,290.11523538020305,-0.298
1876-05-15,290.071423868071,-0.5329999999999999
1876-06-15,289.35080479622,-0.282
1876-07-15,287.726465709593,-0.13699999999999998
1876-08-15,286.142978268916,-0.248
1876-09-15,286.122082255244,-0.436
1876-10-15,287.178390180674,-0.38799999999999996
1876-11-15,288.201567933648,-0.586
1876-12-15,288.856167791889,-0.716
1877-01-15,289.343186985658,-0.327
1877-02-15,289.740044813339,0.049
1877-03-15,290.093989980844,-0.28
1877-04-15,290.345876739701,-0.321
1877-05-15,290.29703542096803,-0.45399999999999996
1877-06-15,289.569745909228,-0.092
1877-07-15,287.945014553504,0.013000000000000001
1877-08-15,286.368223417938,0.147
1877-09-15,286.35345244901004,0.027999999999999997
1877-10-15,287.417053043095,0.062
1877-11-15,288.446124458049,0.096
1877-12-15,289.104245310476,0.17
1878-01-15,289.590833060467,0.174
1878-02-15,289.987545801578,0.40299999999999997
1878-03-15,290.340257132889,0.34299999999999997
1878-04-15,290.590268354985,0.319
1878-05-15,290.537107257586,-0.08199999999999999
1878-06-15,289.80397460478804,0.019
1878-07-15,288.17757677090697,-0.049
1878-08-15,286.603881187519,-0.023
1878-09-15,286.591458633415,0.017
1878-10-15,287.657926697338,-0.122
1878-11-15,288.688624226761,-0.2
1878-12-15,289.346539223793,-0.35600000000000004
1879-01-15,289.830938237515,-0.193
1879-02-15,290.224756849335,-0.149
1879-03-15,290.573885218287,-0.094
1879-04-15,290.820114742045,-0.214
1879-05-15,290.761567016866,-0.212
1879-06-15,290.02233231896497,-0.27
1879-07-15,288.39403511340697,-0.23
1879-08-15,286.823249524233,-0.16699999999999998
1879-09-15,286.814015637593,-0.215
1879-10-15,287.885097773554,-0.122
1879-11-15,288.920241111515,-0.39
1879-12-15,289.58175897807996,-0.515
1880-01-15,290.065054154911,-0.067
1880-02-15,290.461612959388,-0.17300000000000001
1880-03-15,290.81352080709,-0.10400000000000001
1880-04-15,291.062567653065,-0.15
1880-05-15,291.006403690211,-0.244
1880-06-15,290.269216739785,-0.307
1880-07-15,288.643727224093,-0.247
1880-08-15,287.076536720563,-0.11599999999999999
1880-09-15,287.070439559257,-0.235
1880-10-15,288.144380508424,-0.386
1880-11-15,289.18174667963103,-0.408
1880-12-15,289.84478514596003,-0.294
1881-01-15,290.329164629836,-0.353
1881-02-15,290.726180019623,-0.23399999999999999
1881-03-15,291.078223195958,-0.18100000000000002
1881-04-15,291.327260008323,-0.131
1881-05-15,291.270644309651,-0.03
1881-06-15,290.53283928220503,-0.23
1881-07-15,288.907843946316,-0.14800000000000002
1881-08-15,287.342464809669,-0.12300000000000001
1881-09-15,287.338421768798,-0.24
1881-10-15,288.41499380048697,-0.275
1881-11-15,289.45513406052004,-0.33399999999999996
1881-12-15,290.120821661786,-0.13
1882-01-15,290.609097765456,0.125
1882-02-15,291.008050065482,-0.008
1882-03-15,291.361513791669,-0.051
1882-04-15,291.611515856004,-0.28300000000000003
1882-05-15,291.554581903532,-0.37200000000000005
1882-06-15,290.815423485736,-0.315
1882-07-15,289.190177204952,-0.187
1882-08-15,287.62576530907,-0.221
1882-09-15,287.62161424437,-0.156
1882-10-15,288.697392179043,-0.32899999999999996
1882-11-15,289.735381359625,-0.312
1882-12-15,290.397477914185,-0.47100000000000003
1883-01-15,290.877706425447,-0.4
1883-02-15,291.271501493981,-0.321
1883-03-15,291.619676171042,-0.34600000000000003
1883-04-15,291.864397870549,-0.397
1883-05-15,291.802569544603,-0.256
1883-06-15,291.058993368441,-0.124
1883-07-15,289.42939348844,-0.2
1883-08-15,287.86081809421603,-0.21
1883-09-15,287.853461119113,-0.27899999999999997
1883-10-15,288.927039605973,-0.379
1883-11-15,289.96405983643996,-0.312
1883-12-15,290.626373619932,-0.32299999999999995
1884-01-15,291.106047807921,-0.40299999999999997
1884-02-15,291.502269318014,-0.217
1884-03-15,291.853832898506,-0.45899999999999996
1884-04-15,292.102617370594,-0.527
1884-05-15,292.046026655664,-0.396
1884-06-15,291.308408031052,-0.41100000000000003
1884-07-15,289.683353357369,-0.424
1884-08-15,288.117573684478,-0.413
1884-09-15,288.113064869636,-0.34600000000000003
1884-10-15,289.188975462075,-0.332
1884-11-15,290.22839458454104,-0.5670000000000001
1884-12-15,290.89342641663,-0.415
1885-01-15,291.376562266687,-0.502
1885-02-15,291.77589695002604,-0.41200000000000003
1885-03-15,292.130598331915,-0.48200000000000004
1885-04-15,292.382443869343,-0.469
1885-05-15,292.32929948157,-0.518
1885-06-15,291.59529242096403,-0.486
1885-07-15,289.972597686992,-0.316
1885-08-15,288.40779032641603,-0.505
1885-09-15,288.40425644085303,-0.32899999999999996
1885-10-15,289.48084188353903,-0.242
1885-11-15,290.521102173339,-0.262
1885-12-15,291.187308501113,-0.155
1886-01-15,291.673474687508,-0.396
1886-02-15,292.074241362393,-0.47
1886-03-15,292.43029080986304,-0.41200000000000003
1886-04-15,292.683393728721,-0.33799999999999997
1886-05-15,292.63141918829496,-0.188
1886-06-15,291.89848559579104,-0.382
1886-07-15,290.276738055287,-0.28
1886-08-15,288.712744246133,-0.335
1886-09-15,288.709909746369,-0.43200000000000005
1886-10-15,289.787070181457,-0.361
1886-11-15,290.827800366441,-0.423
1886-12-15,291.49442215917,-0.42
1887-01-15,291.977661510786,-0.5660000000000001
1887-02-15,292.37938908432596,-0.556
1887-03-15,292.736921439701,-0.457
1887-04-15,292.991857216474,-0.435
1887-05-15,292.942961211298,-0.355
1887-06-15,292.213954864627,-0.40399999999999997
1887-07-15,290.594317851433,-0.27399999999999997
1887-08-15,289.030380137882,-0.36200000000000004
1887-09-15,289.028202411523,-0.337
1887-10-15,290.106066863387,-0.499
