name,country,age,height,weight,sex,birth,gold,silver,bronze,total,sport,event
Jennifer Abel,Canada,20,160.0,62.0,F,1991-08-23 00:00:00,0,0,1,1,Diving,"Women's 3m Springboard, Women's Synchronised 3m Springboard"
Alaaeldin Abouelkassem,Egypt,21,188.0,82.0,M,1990-11-25 00:00:00,0,1,0,1,Fencing,"Men's Individual Foil, Men's Team Foil"
Chantal Achterberg,Netherlands,27,171.0,72.0,F,1985-04-16 00:00:00,0,0,1,1,Rowing,Women's Eight
Filip Adamski,Germany,29,189.0,90.0,M,1983-01-05 00:00:00,1,0,0,1,Rowing,Men's Eight
Rebecca Adlington,Great Britain,23,179.0,70.0,F,1989-02-17 00:00:00,0,0,1,1,Swimming,"Women's 400m Freestyle, Women's 800m Freestyle"
Nathan Adrian,United States of America,23,201.0,102.0,M,1988-12-07 00:00:00,1,1,0,2,Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
Kseniia Afanaseva,Russian Federation,20,158.0,48.0,F,1991-09-13 00:00:00,0,1,0,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Yannick Agnel,France,20,202.0,90.0,M,1992-06-09 00:00:00,2,1,0,3,Swimming,"Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Mayra Aguiar,Brazil,21,178.0,78.0,F,1991-08-03 00:00:00,0,0,1,1,Judo,Women's -78kg
Hannes Aigner,Germany,23,183.0,80.0,M,1989-03-19 00:00:00,0,0,1,1,Canoe Slalom,Men's Kayak (K1)
Nasser Al-Attiya,Qatar,41,178.0,70.0,M,1970-12-21 00:00:00,0,0,1,1,Shooting,Men's Skeet
Sara Algotsson Ostholt,Sweden,37,162.0,55.0,F,1974-12-08 00:00:00,0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, WEGA"
Yuri Alvear,Colombia,26,174.0,70.0,F,1986-03-29 00:00:00,0,0,1,1,Judo,Women's -70kg
Kum Ae An,Democratic People's Republic  of Korea,32,160.0,52.0,F,1980-06-03 00:00:00,1,0,0,1,Judo,Women's -52kg
Alyssa Anderson,United States of America,21,173.0,64.0,F,1990-09-30 00:00:00,1,0,0,1,Swimming,Women's 4x200m Freestyle Relay
Kristin Armstrong,United States of America,38,173.0,58.0,F,1973-08-11 00:00:00,1,0,0,1,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Judith Arndt,Germany,36,173.0,59.0,F,1976-07-23 00:00:00,0,1,0,1,"Cycling - Road, Cycling - Track","Women's Individual Time Trial, Women's Road Race, Women's Team Pursuit"
Sandra Auffarth,Germany,25,170.0,58.0,F,1986-12-27 00:00:00,1,0,1,2,Equestrian,"Individual Eventing, Team Eventing, OPGUN LOUVO"
Mariana Avitia,Mexico,18,164.0,61.0,F,1993-09-18 00:00:00,0,0,1,1,Archery,"Women's Individual, Women's Team"
Alexander Kristoff,Norway,25,78.0,78.0,M,1987-07-05 00:00:00,0,0,1,1,Cycling - Road,Men's Road Race
Alina Dumitru,Romania,29,158.0,48.0,F,1982-08-30 00:00:00,0,1,0,1,Judo,Women's -48kg
Carina BAER,Germany,22,186.0,74.0,F,1990-01-23 00:00:00,0,1,0,1,Rowing,Women's Quadruple Sculls
Tim Baillie,Great Britain,33,176.0,78.0,M,1979-05-11 00:00:00,1,0,0,1,Canoe Slalom,Men's Canoe Double (C2)
Angie Bainbridge,Australia,22,181.0,67.0,F,1989-10-16 00:00:00,0,1,0,1,Swimming,Women's 4x200m Freestyle Relay
Coralie Balmy,France,25,180.0,67.0,F,1987-06-02 00:00:00,0,0,1,1,Swimming,"Women's 400m Freestyle, Women's 800m Freestyle, Women's 4x200m Freestyle Relay"
Bronte Barratt,Australia,23,171.0,59.0,F,1989-02-08 00:00:00,0,1,1,2,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x200m Freestyle Relay"
Jacob Barsoe,Denmark,23,188.0,73.0,M,1988-09-21 00:00:00,0,0,1,1,Rowing,Men's Lightweight Four
Danka Bartekova,Slovakia,27,170.0,55.0,F,1984-10-19 00:00:00,0,0,1,1,Shooting,Women's Skeet
Chris Bartley,Great Britain,28,178.0,73.0,M,1984-02-02 00:00:00,0,1,0,1,Rowing,Men's Lightweight Four
Romano Battisti,Italy,25,190.0,92.0,M,1986-08-21 00:00:00,0,1,0,1,Rowing,Men's Double Sculls
Gregory Bauge,France,27,181.0,94.0,M,1985-01-31 00:00:00,0,1,0,1,Cycling - Track,"Men's Sprint, Men's Team Sprint"
Elizabeth Beisel,United States of America,19,168.0,66.0,F,1992-08-18 00:00:00,0,1,0,1,Swimming,"Women's 200m Backstroke, Women's 400m Individual Medley"
Claudia Belderbos,Netherlands,27,176.0,72.0,F,1985-01-23 00:00:00,0,0,1,1,Rowing,Women's Eight
Mireia Belmonte Garcia,Spain,21,170.0,60.0,F,1990-11-10 00:00:00,0,1,0,1,Swimming,"Women's 400m Freestyle, Women's 800m Freestyle, Women's 200m Butterfly, Women's 200m Individual Medley, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
Meaghan Benfeito,Canada,23,155.0,50.0,F,1989-03-02 00:00:00,0,0,1,1,Diving,"Women's 10m Platform, Women's Synchronised 10m Platform"
Ricky Berens,United States of America,24,188.0,93.0,M,1988-04-21 00:00:00,1,1,0,2,Swimming,"Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
Gabriel Bergen,Canada,30,187.0,92.0,M,1982-07-06 00:00:00,0,1,0,1,Rowing,Men's Eight
Yanet Bermoy Acosta,Cuba,25,48.0,51.0,F,1987-05-29 00:00:00,0,1,0,1,Judo,Women's -52kg
Alain Bernard,France,29,196.0,90.0,M,1983-05-01 00:00:00,1,0,0,1,Swimming,Men's 4x100m Freestyle Relay
Ole Bischof,Germany,32,180.0,81.0,M,1979-08-27 00:00:00,0,1,0,1,Judo,Men's -81kg
Sylwia Bogacka,Poland,30,162.0,55.0,F,1981-10-03 00:00:00,0,1,0,1,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
Hamish Bond,New Zealand,26,189.0,91.0,M,1986-02-13 00:00:00,1,0,0,1,Rowing,Men's Pair
Charlotte Bonnet,France,17,174.0,61.0,F,1995-02-14 00:00:00,0,0,1,1,Swimming,"Women's 100m Freestyle, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Edith Bosch,Netherlands,32,183.0,70.0,F,1980-05-31 00:00:00,0,0,1,1,Judo,Women's -70kg
David Boudia,United States of America,23,175.0,73.0,M,1989-04-24 00:00:00,0,0,1,1,Diving,"Men's 10m Platform, Men's Synchronised 10m Platform"
Carline Bouw,Netherlands,27,184.0,71.0,F,1984-12-14 00:00:00,0,0,1,1,Rowing,Women's Eight
Matthew Brittain,South Africa,25,186.0,70.0,M,1987-05-05 00:00:00,1,0,0,1,Rowing,Men's Lightweight Four
Jeremiah Brown,Canada,26,198.0,106.0,M,1985-11-25 00:00:00,0,1,0,1,Rowing,Men's Eight
Kelci Bryant,United States of America,23,163.0,61.0,F,1989-01-15 00:00:00,0,1,0,1,Diving,Women's Synchronised 3m Springboard
Karina Bryant,Great Britain,33,184.0,103.0,F,1979-01-27 00:00:00,0,0,1,1,Judo,Women's +78kg
Ashley Brzozowicz,Canada,29,177.0,76.0,F,1982-12-17 00:00:00,0,1,0,1,Rowing,Women's Eight
Diana Laura Bulimar,Romania,16,140.0,32.0,F,1995-08-22 00:00:00,0,0,1,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Andrew Byrnes,Canada,29,200.0,98.0,M,1983-05-22 00:00:00,0,1,0,1,Rowing,Men's Eight
Bo Bae Ki,Republic of Korea,24,168.0,55.0,F,1988-02-20 00:00:00,2,0,0,2,Archery,"Women's Individual, Women's Team"
Brent Hayden,Canada,28,193.0,86.0,M,1983-10-21 00:00:00,0,0,1,1,Swimming,"Men's 50m Freestyle, Men's 100m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
Britta Heidemann,Germany,29,180.0,71.0,F,1982-12-22 00:00:00,0,1,0,1,Fencing,"Women's Individual Epee, Women's Team Epee"
Erin Cafaro,United States of America,29,175.0,75.0,F,1983-06-09 00:00:00,1,0,0,1,Rowing,Women's Eight
Ivan Cambar Rodriguez,Cuba,28,77.0,77.0,M,1983-12-29 00:00:00,0,0,1,1,Weightlifting,Men's 77kg
Alan Campbell,Great Britain,29,191.0,96.0,M,1983-05-09 00:00:00,0,0,1,1,Rowing,Men's Single Sculls
Cate Campbell,Australia,20,186.0,67.0,F,1992-05-20 00:00:00,1,0,0,1,Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay"
Niccolo Campriani,Italy,24,177.0,75.0,M,1987-11-06 00:00:00,0,1,0,1,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Yuan Cao,People's Republic of China,17,160.0,42.0,M,1995-02-07 00:00:00,1,0,0,1,Diving,Men's Synchronised 10m Platform
Corina Caprioriu,Romania,26,160.0,57.0,F,1986-07-18 00:00:00,0,1,0,1,Judo,Women's -57kg
Peter Chambers,Great Britain,22,187.0,73.0,M,1990-03-14 00:00:00,0,1,0,1,Rowing,Men's Lightweight Four
Richard Chambers,Great Britain,27,183.0,74.0,M,1985-06-10 00:00:00,0,1,0,1,Rowing,Men's Lightweight Four
Germain Chardin,France,29,192.0,92.0,M,1983-05-15 00:00:00,0,1,0,1,Rowing,Men's Pair
Diana Maria Chelaru,Romania,18,150.0,57.0,F,1993-08-15 00:00:00,0,0,1,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Ruolin Chen,People's Republic of China,19,158.0,47.0,F,1992-12-12 00:00:00,1,0,0,1,Diving,"Women's 10m Platform, Women's Synchronised 10m Platform"
Yibing Chen,People's Republic of China,27,160.0,58.0,M,1984-12-19 00:00:00,1,0,0,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Ying Chen,People's Republic of China,34,164.0,75.0,F,1977-11-04 00:00:00,0,1,0,1,Shooting,Women's 25m Pistol
Ming Cheng,People's Republic of China,26,165.0,65.0,F,1986-02-11 00:00:00,0,1,0,1,Archery,"Women's Individual, Women's Team"
Zulfiya Chinshanlo,Kazakhstan,19,155.0,53.0,F,1993-07-25 00:00:00,1,0,0,1,Weightlifting,Women's 53kg
Jun-Ho Cho,Republic of Korea,23,165.0,65.0,M,1988-12-16 00:00:00,0,0,1,1,Judo,Men's -66kg
Byungchul Choi,Republic of Korea,30,173.0,70.0,M,1981-10-24 00:00:00,0,0,1,1,Fencing,Men's Individual Foil
Hyeonju Choi,Republic of Korea,27,172.0,65.0,F,1984-08-06 00:00:00,1,0,0,1,Archery,"Women's Individual, Women's Team"
Maialen Chourraut,Spain,29,161.0,55.0,F,1983-03-08 00:00:00,0,0,1,1,Canoe Slalom,Women's Kayak (K1)
Tyler Clary,United States of America,23,185.0,84.0,M,1989-03-12 00:00:00,1,0,0,1,Swimming,"Men's 200m Butterfly, Men's 200m Backstroke"
Roxana Daniela Cocos,Romania,23,158.0,68.0,F,1989-06-05 00:00:00,0,1,0,1,Weightlifting,Women's 69kg
Nathan Cohen,New Zealand,26,184.0,85.0,M,1986-01-02 00:00:00,1,0,0,1,Rowing,Men's Double Sculls
Kristina Cook,Great Britain,41,175.0,71.0,F,1970-08-31 00:00:00,0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, MINERS FROLIC"
Iztok Cop,Slovenia,40,190.0,90.0,M,1972-06-17 00:00:00,0,0,1,1,Rowing,Men's Double Sculls
Natalie Coughlin,United States of America,29,173.0,63.0,F,1982-08-23 00:00:00,0,0,1,1,Swimming,Women's 4x100m Freestyle Relay
Alicia Coutts,Australia,24,176.0,69.0,F,1987-09-14 00:00:00,1,2,1,4,Swimming,"Women's 100m Butterfly, Women's 200m Individual Medley, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Lionel Cox,Belgium,31,185.0,74.0,M,1981-07-11 00:00:00,0,1,0,1,Shooting,Men's 50m Rifle Prone
Will Crothers,Canada,25,195.0,95.0,M,1987-06-14 00:00:00,0,1,0,1,Rowing,Men's Eight
Kim Crow,Australia,26,188.0,74.0,F,1985-08-09 00:00:00,0,1,0,1,Rowing,"Women's Single Sculls, Women's Double Sculls"
Laszlo Cseh,Hungary,26,190.0,84.0,M,1985-12-03 00:00:00,0,0,1,1,Swimming,"Men's 200m Butterfly, Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Caryn Davies,United States of America,30,193.0,82.0,F,1982-04-14 00:00:00,1,0,0,1,Rowing,Women's Eight
Catalina Ponor,Romania,24,160.0,51.0,F,1987-08-20 00:00:00,0,0,1,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Charlie Houchin,United States of America,24,191.0,84.0,M,1987-11-03 00:00:00,1,0,0,1,Swimming,Men's 4x200m Freestyle Relay
Michael D'almeida,France,24,177.0,82.0,M,1987-09-03 00:00:00,0,1,0,1,Cycling - Track,Men's Team Sprint
Hakan Dahlby,Sweden,46,185.0,85.0,M,1965-09-15 00:00:00,0,1,0,1,Shooting,Men's Double Trap
Jun Dai,People's Republic of China,20,181.0,75.0,M,1992-02-06 00:00:00,0,0,1,1,Swimming,"Men's 1500m Freestyle, Men's 4x200m Freestyle Relay"
Xiaoxiang Dai,People's Republic of China,21,178.0,70.0,M,1990-12-15 00:00:00,0,0,1,1,Archery,"Men's Individual, Men's Team"
Sytske de Groot,Netherlands,26,180.0,72.0,F,1986-04-03 00:00:00,0,0,1,1,Rowing,Women's Eight
Annemiek de Haan,Netherlands,31,187.0,73.0,F,1981-07-15 00:00:00,0,0,1,1,Rowing,Women's Eight
Rajmond Debevec,Slovenia,49,182.0,76.0,M,1963-03-29 00:00:00,0,0,1,1,Shooting,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Lucie Decosse,France,30,168.0,70.0,F,1981-08-06 00:00:00,1,0,0,1,Judo,Women's -70kg
Natalie Dell,United States of America,27,175.0,77.0,F,1985-02-20 00:00:00,0,0,1,1,Rowing,Women's Quadruple Sculls
Yana Dementieva,Ukraine,33,182.0,75.0,F,1978-10-23 00:00:00,1,0,0,1,Rowing,Women's Quadruple Sculls
Inna Deriglazova,Russian Federation,22,177.0,65.0,F,1990-03-10 00:00:00,0,1,0,1,Fencing,"Women's Individual Foil, Women's Team Foil"
Elisa Di Francisca,Italy,29,177.0,65.0,F,1982-12-13 00:00:00,2,0,0,2,Fencing,"Women's Individual Foil, Women's Team Foil"
Feng Ding,People's Republic of China,25,175.0,80.0,M,1987-03-19 00:00:00,0,0,1,1,Shooting,Men's 25m Rapid Fire Pistol
Ning Ding,People's Republic of China,22,171.0,63.0,F,1990-06-20 00:00:00,0,1,0,1,Table Tennis,"Women's Singles, Women's Team"
Dong Dong,People's Republic of China,23,168.0,57.0,M,1989-04-13 00:00:00,1,0,0,1,Trampoline,Men's Trampoline
Gabrielle Douglas,United States of America,16,150.0,50.0,F,1995-12-31 00:00:00,2,0,0,2,Gymnastics - Artistic,"Women's Individual All-Around, Women's Team, Women's Qualification"
Nataliya Dovgodko,Ukraine,21,186.0,78.0,F,1991-02-07 00:00:00,1,0,0,1,Rowing,Women's Quadruple Sculls
Conor Dwyer,United States of America,23,196.0,88.0,M,1989-01-10 00:00:00,1,0,0,1,Swimming,"Men's 400m Freestyle, Men's 4x200m Freestyle Relay"
Douglas Csima,Canada,26,191.0,100.0,M,1985-11-28 00:00:00,0,1,0,1,Rowing,Men's Eight
Iuliia Efimova,Russian Federation,20,178.0,64.0,F,1992-04-03 00:00:00,0,0,1,1,Swimming,"Women's 100m Breaststroke, Women's 200m Breaststroke, Women's 4x100m Medley Relay"
Richard Egington,Great Britain,33,200.0,105.0,M,1979-02-26 00:00:00,0,0,1,1,Rowing,Men's Eight
Irawan Eko Yuli,Indonesia,23,157.0,62.0,M,1989-07-24 00:00:00,0,0,1,1,Weightlifting,Men's 62kg
Brady Ellison,United States of America,23,180.0,86.0,M,1988-10-27 00:00:00,0,1,0,1,Archery,"Men's Individual, Men's Team"
Brittany Elmslie,Australia,18,179.0,73.0,F,1994-06-19 00:00:00,1,1,0,2,Swimming,"Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Rene Enders,Germany,25,165.0,75.0,M,1987-02-13 00:00:00,0,0,1,1,Cycling - Track,Men's Team Sprint
Arianna Errigo,Italy,24,180.0,64.0,F,1988-06-06 00:00:00,1,1,0,2,Fencing,"Women's Individual Foil, Women's Team Foil"
Paola Espinosa Sanchez,Mexico,26,156.0,48.0,F,1986-07-31 00:00:00,0,1,0,1,Diving,"Women's 10m Platform, Women's Synchronised 10m Platform"
Tony Estanguet,France,34,186.0,76.0,M,1978-05-06 00:00:00,1,0,0,1,Canoe Slalom,Men's Canoe Single (C1)
Ophelie-Cyrielle Etienne,France,21,176.0,62.0,F,1990-09-09 00:00:00,0,0,1,1,Swimming,"Women's 200m Freestyle, Women's 4x200m Freestyle Relay"
Blair Evans,Australia,21,175.0,65.0,F,1991-04-03 00:00:00,0,1,0,1,Swimming,"Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
Eskild Ebbesen,Denmark,40,188.0,75.0,M,1972-05-27 00:00:00,0,0,1,1,Rowing,Men's Lightweight Four
Eva Csernoviczki,Hungary,25,160.0,48.0,F,1986-10-16 00:00:00,0,0,1,1,Judo,Women's -48kg
Yuting Fang,People's Republic of China,22,170.0,62.0,F,1989-12-21 00:00:00,0,1,0,1,Archery,"Women's Individual, Women's Team"
Margaux Farrell,France,21,183.0,71.0,F,1990-08-22 00:00:00,0,0,1,1,Swimming,Women's 4x200m Freestyle Relay
James Feigen,United States of America,22,196.0,98.0,M,1989-09-26 00:00:00,0,1,0,1,Swimming,Men's 4x100m Freestyle Relay
Tianwei Feng,Singapore,25,163.0,57.0,F,1986-08-31 00:00:00,0,0,1,1,Table Tennis,"Women's Singles, Women's Team"
Zhe Feng,People's Republic of China,24,160.0,58.0,M,1987-11-19 00:00:00,1,0,0,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Emilie Fer,France,29,172.0,63.0,F,1983-02-17 00:00:00,1,0,0,1,Canoe Slalom,Women's Kayak (K1)
Sergei Fesikov,Russian Federation,23,204.0,90.0,M,1989-01-21 00:00:00,0,0,1,1,Swimming,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay"
Oscar Albeiro Figueroa Mosquera,Colombia,29,165.0,62.0,M,1983-04-27 00:00:00,0,1,0,1,Weightlifting,Men's 62kg
Roseline Filion,Canada,25,152.0,52.0,F,1987-07-03 00:00:00,0,0,1,1,Diving,"Women's 10m Platform, Women's Synchronised 10m Platform"
Joachim Fischer,Denmark,33,188.0,78.0,M,1978-11-23 00:00:00,0,0,1,1,Badminton,Mixed Doubles
David Florence,Great Britain,29,188.0,77.0,M,1982-08-08 00:00:00,0,1,0,1,Canoe Slalom,"Men's Canoe Single (C1), Men's Canoe Double (C2)"
James Foad,Great Britain,25,185.0,90.0,M,1987-03-20 00:00:00,0,0,1,1,Rowing,Men's Eight
Robert Forstemann,Germany,26,174.0,90.0,M,1986-03-05 00:00:00,0,0,1,1,"Cycling - Mountain Bike, Cycling - Track","Men's Cross-country, Men's Sprint, Men's Team Sprint"
Karsten Forsterling,Australia,32,191.0,88.0,M,1980-01-21 00:00:00,0,0,1,1,Rowing,Men's Quadruple Sculls
Jessica Fox,Australia,18,166.0,60.0,F,1994-06-11 00:00:00,0,1,0,1,Canoe Slalom,Women's Kayak (K1)
William Fox-Pitt,Great Britain,43,198.0,76.0,M,1969-01-02 00:00:00,0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, LIONHEART"
Zsuzsanna Francia,United States of America,29,188.0,79.0,F,1982-11-08 00:00:00,1,0,0,1,Rowing,Women's Eight
Michele Frangilli,Italy,36,181.0,110.0,M,1976-05-01 00:00:00,1,0,0,1,Archery,"Men's Individual, Men's Team"
Missy Franklin,United States of America,17,185.0,75.0,F,1995-05-10 00:00:00,2,0,1,3,Swimming,"Women's 100m Freestyle, Women's 200m Freestyle, Women's 100m Backstroke, Women's 200m Backstroke, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Christopher Froome,Great Britain,27,185.0,71.0,M,1985-05-20 00:00:00,0,0,1,1,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Kamilla Gafurzianova,Russian Federation,24,174.0,64.0,F,1988-05-18 00:00:00,0,1,0,1,Fencing,"Women's Individual Foil, Women's Team Foil"
Marco Galiazzo,Italy,29,178.0,98.0,M,1983-05-07 00:00:00,1,0,0,1,Archery,"Men's Individual, Men's Team"
Arsen Galstyan,Russian Federation,23,170.0,60.0,M,1989-02-19 00:00:00,1,0,0,1,Judo,Men's -60kg
Ivan Garcia Navarro,Mexico,18,165.0,55.0,M,1993-10-25 00:00:00,0,1,0,1,Diving,"Men's 10m Platform, Men's Synchronised 10m Platform"
Gemma Gibbons,Great Britain,25,173.0,77.0,F,1987-01-06 00:00:00,0,1,0,1,Judo,Women's -78kg
Rob Gibson,Canada,26,195.0,101.0,M,1986-02-02 00:00:00,0,1,0,1,Rowing,Men's Eight
Fabien Gilot,France,28,193.0,85.0,M,1984-04-27 00:00:00,1,0,0,1,Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
Christine Girard,Canada,27,161.0,63.0,F,1985-01-03 00:00:00,0,0,1,1,Weightlifting,Women's 63kg
Helen Glover,Great Britain,26,178.0,70.0,F,1986-06-17 00:00:00,1,0,0,1,Rowing,Women's Pair
Priscilla Gneto,France,21,163.0,52.0,F,1991-08-03 00:00:00,0,0,1,1,Judo,Women's -52kg
Celine Goberville,France,25,156.0,53.0,F,1986-09-19 00:00:00,0,1,0,1,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Anders Golding,Denmark,28,186.0,95.0,M,1984-05-12 00:00:00,0,1,0,1,Shooting,Men's Skeet
Jinjie Gong,People's Republic of China,25,165.0,65.0,F,1986-11-12 00:00:00,0,1,0,1,Cycling - Track,Women's Team Sprint
Asley Gonzalez,Cuba,22,179.0,89.0,M,1989-09-05 00:00:00,0,1,0,1,Judo,Men's -90kg
Katherine Grainger,Great Britain,36,183.0,80.0,F,1975-11-12 00:00:00,1,0,0,1,Rowing,Women's Double Sculls
Andrey Grechin,Russian Federation,24,198.0,94.0,M,1987-10-21 00:00:00,0,0,1,1,Swimming,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
Matthew Grevers,United States of America,27,203.0,104.0,M,1985-03-26 00:00:00,1,1,0,2,Swimming,"Men's 100m Backstroke, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
Anastasia Grishina,Russian Federation,16,146.0,37.0,F,1996-01-16 00:00:00,0,1,0,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Tim Grohmann,Germany,23,194.0,98.0,M,1988-12-27 00:00:00,1,0,0,1,Rowing,Men's Quadruple Sculls
Henk Grol,Netherlands,27,190.0,100.0,M,1985-04-14 00:00:00,0,0,1,1,Judo,Men's -100kg
Krista Guloien,Canada,32,177.0,75.0,F,1980-03-20 00:00:00,0,1,0,1,Rowing,Women's Eight
Daniel Gyurta,Hungary,23,185.0,77.0,M,1989-05-04 00:00:00,1,0,0,1,Swimming,"Men's 100m Breaststroke, Men's 200m Breaststroke, Men's 4x100m Medley Relay"
Gevrise Emane,France,30,160.0,63.0,F,1982-07-27 00:00:00,0,0,1,1,Judo,Women's -63kg
Kosuke Hagino,Japan,17,175.0,68.0,M,1994-08-15 00:00:00,0,0,1,1,Swimming,"Men's 200m Individual Medley, Men's 400m Individual Medley"
Juliette Haigh,New Zealand,29,176.0,69.0,F,1982-08-04 00:00:00,0,0,1,1,Rowing,Women's Pair
Brendan Hansen,United States of America,30,183.0,85.0,M,1981-08-15 00:00:00,0,0,1,1,Swimming,"Men's 100m Breaststroke, Men's 4x100m Medley Relay"
Janine Hanson,Canada,29,179.0,73.0,F,1982-12-14 00:00:00,0,1,0,1,Rowing,Women's Eight
Yun Hao,People's Republic of China,17,185.0,80.0,M,1995-06-23 00:00:00,0,0,1,1,Swimming,"Men's 400m Freestyle, Men's 4x200m Freestyle Relay"
Jessica Hardy,United States of America,25,183.0,69.0,F,1987-03-12 00:00:00,0,0,1,1,Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay"
Kayla Harrison,United States of America,22,173.0,75.0,F,1990-07-02 00:00:00,1,0,0,1,Judo,Women's -78kg
Zi He,People's Republic of China,21,159.0,51.0,F,1990-12-10 00:00:00,1,0,0,1,Diving,"Women's 3m Springboard, Women's Synchronised 3m Springboard"
Femke Heemskerk,Netherlands,24,180.0,67.0,F,1987-09-21 00:00:00,0,1,0,1,Swimming,"Women's 100m Freestyle, Women's 200m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay"
Aliaksandra Herasimenia,Belarus,26,175.0,60.0,F,1985-12-31 00:00:00,0,1,0,1,Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 100m Butterfly, Women's 4x100m Freestyle Relay"
Emilie Heymans,Canada,30,170.0,60.0,F,1981-12-14 00:00:00,0,0,1,1,Diving,"Women's 3m Springboard, Women's Synchronised 3m Springboard"
Phelan Hill,Great Britain,33,171.0,55.0,M,1979-07-21 00:00:00,0,0,1,1,Rowing,Men's Eight
