name,country,age,height,weight,sex,birth,gold,silver,bronze,total,sport,event
Danell Leyva,United States of America,20,170.0,61.0,M,1991-10-30 00:00:00,0,0,1,1,Gymnastics - Artistic,"Men's Individual All-Around, Men's Team, Men's Qualification"
Jason Lezak,United States of America,36,193.0,98.0,M,1975-11-12 00:00:00,0,1,0,1,Swimming,Men's 4x100m Freestyle Relay
Xiaoxia Li,People's Republic of China,24,174.0,65.0,F,1988-01-16 00:00:00,1,0,0,1,Table Tennis,"Women's Singles, Women's Team"
Xuanxu Li,People's Republic of China,18,165.0,55.0,F,1994-02-05 00:00:00,0,0,1,1,Swimming,"Women's 400m Freestyle, Women's 400m Individual Medley"
Xueying Li,People's Republic of China,22,161.0,58.0,F,1990-05-15 00:00:00,1,0,0,1,Weightlifting,Women's 58kg
Yunqi Li,People's Republic of China,18,193.0,82.0,M,1993-08-28 00:00:00,0,0,1,1,Swimming,"Men's 200m Freestyle, Men's 4x200m Freestyle Relay"
Ruben Limardo Gascon,Venezuela,27,175.0,80.0,M,1985-08-03 00:00:00,1,0,0,1,Fencing,Men's Individual Epee
Qingfeng Lin,People's Republic of China,23,167.0,68.0,M,1989-01-26 00:00:00,1,0,0,1,Weightlifting,Men's 69kg
Caroline Lind,United States of America,29,183.0,82.0,F,1982-10-11 00:00:00,1,0,0,1,Rowing,Women's Eight
Nikita Lobintsev,Russian Federation,23,194.0,81.0,M,1988-11-21 00:00:00,0,0,1,1,Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
Ryan Lochte,United States of America,28,188.0,88.0,M,1984-08-03 00:00:00,2,2,1,5,Swimming,"Men's 200m Freestyle, Men's 200m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
Esther Lofgren,United States of America,27,188.0,79.0,F,1985-02-28 00:00:00,1,0,0,1,Rowing,Women's Eight
