país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Eritrea,"ERI","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","38.418","65.536"
Eritrea,"ERI","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","36.973","63.398"
Eritrea,"ERI","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","NA"
Eritrea,"ERI","Población, hombres","SP.POP.TOTL.MA.IN","694449","NA"
Eritrea,"ERI","Población, mujeres","SP.POP.TOTL.FE.IN","703042","NA"
Eritrea,"ERI","Población, total","SP.POP.TOTL","1397491","NA"
Eswatini,"SWZ","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","46.243","61.34"
Eswatini,"SWZ","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","44.285","58.268"
Eswatini,"SWZ","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","42.33","54.932"
Eswatini,"SWZ","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","35076158.4768305","4433664364.24725"
Eswatini,"SWZ","Población, hombres","SP.POP.TOTL.MA.IN","169028","662136"
Eswatini,"SWZ","Población, mujeres","SP.POP.TOTL.FE.IN","180146","705118"
Eswatini,"SWZ","Población, total","SP.POP.TOTL","349174","1367254"
Etiopía,"ETH","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","39.909","67.784"
Etiopía,"ETH","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","38.419","65.874"
Etiopía,"ETH","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","36.974","63.997"
Etiopía,"ETH","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","80561496133.9172"
Etiopía,"ETH","Población, hombres","SP.POP.TOTL.MA.IN","11010787","52406026"
Etiopía,"ETH","Población, mujeres","SP.POP.TOTL.FE.IN","11140491","52551412"
Etiopía,"ETH","Población, total","SP.POP.TOTL","22151278","104957438"
Gabón,"GAB","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","41.182","68.173"
Gabón,"GAB","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","39.587","66.48"
Gabón,"GAB","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","38.035","64.888"
Gabón,"GAB","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","141468977.570007","15013950984.084"
Gabón,"GAB","Población, hombres","SP.POP.TOTL.MA.IN","243638","1040227"
Gabón,"GAB","Población, mujeres","SP.POP.TOTL.FE.IN","255546","984910"
Gabón,"GAB","Población, total","SP.POP.TOTL","499184","2025137"
Gambia,"GMB","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","33.293","62.831"
Gambia,"GMB","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","32.035","61.424"
Gambia,"GMB","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","30.851","60.078"
Gambia,"GMB","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1489464787.57415"
Gambia,"GMB","Población, hombres","SP.POP.TOTL.MA.IN","180989","1039738"
Gambia,"GMB","Población, mujeres","SP.POP.TOTL.FE.IN","186939","1060830"
Gambia,"GMB","Población, total","SP.POP.TOTL","367928","2100568"
Ghana,"GHA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","46.148","64.058"
Ghana,"GHA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","45.844","63.033"
Ghana,"GHA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","45.53","61.976"
Ghana,"GHA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","1217230038.26781","58996776237.7603"
Ghana,"GHA","Población, hombres","SP.POP.TOTL.MA.IN","3380188","14367705"
Ghana,"GHA","Población, mujeres","SP.POP.TOTL.FE.IN","3272099","14465924"
Ghana,"GHA","Población, total","SP.POP.TOTL","6652287","28833629"
Guinea,"GIN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","36.067","61.166"
Guinea,"GIN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","34.89","60.617"
Guinea,"GIN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","33.762","60.054"
Guinea,"GIN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","10472514514.62"
Guinea,"GIN","Población, hombres","SP.POP.TOTL.MA.IN","1769873","6376332"
Guinea,"GIN","Población, mujeres","SP.POP.TOTL.FE.IN","1807536","6340844"
Guinea,"GIN","Población, total","SP.POP.TOTL","3577409","12717176"
Guinea Ecuatorial,"GNQ","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","38.285","59.39"
Guinea Ecuatorial,"GNQ","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","36.74","57.939"
Guinea Ecuatorial,"GNQ","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","35.255","56.684"
Guinea Ecuatorial,"GNQ","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","12293579173.2134"
Guinea Ecuatorial,"GNQ","Población, hombres","SP.POP.TOTL.MA.IN","125079","701755"
Guinea Ecuatorial,"GNQ","Población, mujeres","SP.POP.TOTL.FE.IN","130244","565934"
Guinea Ecuatorial,"GNQ","Población, total","SP.POP.TOTL","255323","1267689"
Guinea-Bissau,"GNB","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","39.418","59.548"
Guinea-Bissau,"GNB","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","37.854","57.805"
Guinea-Bissau,"GNB","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","36.338","56.048"
Guinea-Bissau,"GNB","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1346841897.00437"
Guinea-Bissau,"GNB","Población, hombres","SP.POP.TOTL.MA.IN","304212","915800"
Guinea-Bissau,"GNB","Población, mujeres","SP.POP.TOTL.FE.IN","312197","945483"
Guinea-Bissau,"GNB","Población, total","SP.POP.TOTL","616409","1861283"
Kenya,"KEN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","48.34","69.669"
Kenya,"KEN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","46.348","67.291"
Kenya,"KEN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","44.479","64.924"
Kenya,"KEN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","791265458.818076","79263075749.2682"
Kenya,"KEN","Población, hombres","SP.POP.TOTL.MA.IN","4065070","24700721"
Kenya,"KEN","Población, mujeres","SP.POP.TOTL.FE.IN","4040370","24999141"
Kenya,"KEN","Población, total","SP.POP.TOTL","8105440","49699862"
Lesotho,"LSO","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","48.225","56.698"
Lesotho,"LSO","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","46.602","54.568"
Lesotho,"LSO","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","44.859","52.197"
Lesotho,"LSO","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","34579308.4138317","2578265358.30386"
Lesotho,"LSO","Población, hombres","SP.POP.TOTL.MA.IN","396265","1084320"
Lesotho,"LSO","Población, mujeres","SP.POP.TOTL.FE.IN","455326","1149019"
Lesotho,"LSO","Población, total","SP.POP.TOTL","851591","2233339"
Liberia,"LBR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","37.254","64.009"
Liberia,"LBR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","34.671","63.006"
