país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Ribera Occidental y Gaza,"PSE","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","75.637"
Ribera Occidental y Gaza,"PSE","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","73.646"
Ribera Occidental y Gaza,"PSE","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","71.756"
Ribera Occidental y Gaza,"PSE","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","14498100000"
Ribera Occidental y Gaza,"PSE","Población, hombres","SP.POP.TOTL.MA.IN","NA","2375815"
Ribera Occidental y Gaza,"PSE","Población, mujeres","SP.POP.TOTL.FE.IN","NA","2308962"
Ribera Occidental y Gaza,"PSE","Población, total","SP.POP.TOTL","NA","4684777"
Túnez,"TUN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","43.007","77.992"
Túnez,"TUN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","42.021","75.943"
Túnez,"TUN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","41.06","73.919"
Túnez,"TUN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","39952095560.8829"
Túnez,"TUN","Población, hombres","SP.POP.TOTL.MA.IN","2082187","5697119"
Túnez,"TUN","Población, mujeres","SP.POP.TOTL.FE.IN","2094079","5835008"
Túnez,"TUN","Población, total","SP.POP.TOTL","4176266","11532127"
"Yemen, Rep. del","YEM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","35.548","66.648"
"Yemen, Rep. del","YEM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","34.361","65.157"
"Yemen, Rep. del","YEM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","33.236","63.701"
"Yemen, Rep. del","YEM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","31267675216.25"
"Yemen, Rep. del","YEM","Población, hombres","SP.POP.TOTL.MA.IN","2588983","14271428"
"Yemen, Rep. del","YEM","Población, mujeres","SP.POP.TOTL.FE.IN","2583152","13978992"
"Yemen, Rep. del","YEM","Población, total","SP.POP.TOTL","5172135","28250420"
,"","","","",""
,"","","","",""
,"","","","",""
Data from Database: Indicadores del desarrollo mundial,"","","","",""
Last Updated: 04/24/2019,"","","","",""
