país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Papua Nueva Guinea,"PNG","Población, mujeres","SP.POP.TOTL.FE.IN","971012","4053684"
Papua Nueva Guinea,"PNG","Población, total","SP.POP.TOTL","2010677","8251162"
Polinesia Francesa,"PYF","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","57.888","79.372"
Polinesia Francesa,"PYF","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","56.282","76.996"
Polinesia Francesa,"PYF","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","54.899","74.853"
Polinesia Francesa,"PYF","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","NA"
Polinesia Francesa,"PYF","Población, hombres","SP.POP.TOTL.MA.IN","40149","144106"
Polinesia Francesa,"PYF","Población, mujeres","SP.POP.TOTL.FE.IN","37927","138901"
Polinesia Francesa,"PYF","Población, total","SP.POP.TOTL","78076","283007"
"Región Administrativa Especial de Macao, China","MAC","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","66.405","86.921"
"Región Administrativa Especial de Macao, China","MAC","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","64.828","83.991"
"Región Administrativa Especial de Macao, China","MAC","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","62.996","81.013"
"Región Administrativa Especial de Macao, China","MAC","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","50361201096.4366"
"Región Administrativa Especial de Macao, China","MAC","Población, hombres","SP.POP.TOTL.MA.IN","82460","298823"
"Región Administrativa Especial de Macao, China","MAC","Población, mujeres","SP.POP.TOTL.FE.IN","85336","323744"
"Región Administrativa Especial de Macao, China","MAC","Población, total","SP.POP.TOTL","167796","622567"
República Democrática Popular Lao,"LAO","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","44.949","68.571"
República Democrática Popular Lao,"LAO","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","43.204","67.021"
República Democrática Popular Lao,"LAO","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","41.543","65.446"
República Democrática Popular Lao,"LAO","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","16853087485.4118"
