year,country,gdp,mobile_subs,mobile_rate,literacy_rate,region,sub_region
2015,Afghanistan,19907111418.9938,19709038.0,58.42052823,38.168040999999995,Asia,Southern Asia
2015,Albania,11386931489.7968,3400955.0,116.3375126,97.55390200000001,Europe,Southern Europe
2015,Algeria,165979277276.90698,43227643.0,108.4173223,79.608398,Africa,Northern Africa
2015,Andorra,2811489408.89431,71336.0,91.43999795,100.0,Europe,Southern Europe
2015,Angola,116193649124.475,13884532.0,49.83804154,71.164162,Africa,Sub-Saharan Africa
2015,Antigua and Barbuda,1359194737.40741,176000.0,176.13562439999998,98.949997,Americas,Latin America and the Caribbean
2015,Argentina,594749285413.212,61842011.0,142.4348098,98.089973,Americas,Latin America and the Caribbean
2015,Armenia,10553337672.9872,3464490.0,118.77097649999999,99.768417,Asia,Western Asia
2015,Aruba,2691620111.7318397,141000.0,135.13384,97.5242,Americas,Latin America and the Caribbean
2015,Australia,1349034029453.37,25770000.0,108.27933090000002,99.0,Oceania,Australia and New Zealand
2015,Austria,381805676697.70703,13470623.0,155.2155247,98.0,Europe,Western Europe
2015,Azerbaijan,53074370486.0433,10697132.0,111.2258882,99.80526,Asia,Western Asia
2015,"Bahamas, The",11792300000.0,311175.0,80.44064957,95.599998,Americas,Latin America and the Caribbean
2015,Bahrain,31125851063.8298,2519055.0,183.6239982,95.717262,Asia,Western Asia
2015,Bangladesh,195078678697.23,131375724.0,81.49814015,61.493832,Asia,Southern Asia
2015,Barbados,4584150000.0,334792.0,117.79450209999999,99.699997,Americas,Latin America and the Caribbean
2015,Belarus,56454734396.5842,11448281.0,120.688975,99.722038,Europe,Eastern Europe
2015,Belgium,455837758493.34796,12774090.0,113.16582120000001,99.0,Europe,Western Europe
2015,Belize,1762500450.0,211946.0,58.99055911,82.77681700000001,Americas,Latin America and the Caribbean
2015,Benin,8291155880.59505,9317955.0,88.1051181,38.447140000000005,Africa,Sub-Saharan Africa
2015,Bhutan,2059809919.89325,675747.0,85.82156655,63.90681800000001,Asia,Southern Asia
2015,Bolivia,33000198263.3864,10162829.0,94.76091883,95.141922,Americas,Latin America and the Caribbean
2015,Bosnia and Herzegovina,16209702863.6235,3443520.0,97.38568949,98.485764,Europe,Southern Europe
2015,Botswana,14406496463.6055,3475327.0,157.3117744,88.224411,Africa,Sub-Saharan Africa
2015,Brazil,1802214373741.32,257814274.0,125.1755852,92.586807,Americas,Latin America and the Caribbean
2015,Brunei Darussalam,12930394937.8137,463384.0,110.9790153,96.656532,Asia,South-eastern Asia
2015,Bulgaria,50201314894.5817,9194633.0,128.1054159,98.38858,Europe,Eastern Europe
2015,Burkina Faso,10419303761.3524,14446897.0,79.77028842,37.7467,Africa,Sub-Saharan Africa
2015,Burundi,3104394858.11518,4997696.0,49.00052651,85.496094,Africa,Sub-Saharan Africa
2015,Cabo Verde,1596800287.16405,611468.0,114.74068,88.465424,Africa,Sub-Saharan Africa
2015,Cambodia,18049954289.4229,20850543.0,134.3667576,78.34594,Asia,South-eastern Asia
2015,Cameroon,30916218544.4404,18160667.0,79.53162759,74.98558,Africa,Sub-Saharan Africa
2015,Canada,1552521512853.35,29765000.0,82.79621957,99.0,Americas,Northern America
2015,Central African Republic,1583776805.9656801,1242494.0,27.330987,36.752609,Africa,Sub-Saharan Africa
2015,Chad,10945989471.6286,5465797.0,39.01517501,40.018242,Africa,Sub-Saharan Africa
2015,Chile,243999477737.94,23206353.0,130.64668,96.627548,Americas,Latin America and the Caribbean
2015,China,11064666282625.5,1291984200.0,92.48087287,96.357452,Asia,Eastern Asia
2015,Colombia,293481748240.779,57327470.0,118.8658902,94.577057,Americas,Latin America and the Caribbean
2015,Comoros,988150249.5336881,424786.0,54.64019634,78.13739,Africa,Sub-Saharan Africa
2015,"Congo, Dem. Rep.",37917704900.0794,37752782.0,49.54653172,77.221672,Africa,Sub-Saharan Africa
2015,"Congo, Rep.",8553154580.399509,5216000.0,104.4108792,79.311172,Africa,Sub-Saharan Africa
2015,Costa Rica,54775994478.4981,7535599.0,156.7352531,97.647247,Americas,Latin America and the Caribbean
2015,Cote d'Ivoire,39633467835.725,25407610.0,109.9493294,43.26532,Africa,Sub-Saharan Africa
2015,Croatia,49490142433.1046,4415660.0,104.24087159999999,99.272591,Europe,Southern Europe
2015,Cuba,87133000000.0,3335346.0,29.10060453,99.710716,Americas,Latin America and the Caribbean
2015,Cyprus,19680625485.1946,1111123.0,131.7901791,99.059776,Asia,Western Asia
2015,Czech Republic,186829940545.75897,12454575.01,117.45430549999999,99.0,Europe,Eastern Europe
2015,Denmark,302673037998.602,7079249.0,124.44416509999998,99.0,Europe,Northern Europe
2015,Djibouti,1633741922.6873698,314350.0,33.89532614,67.900002,Africa,Sub-Saharan Africa
2015,Dominica,540830666.666667,77254.0,105.59306740000001,94.0,Americas,Latin America and the Caribbean
2015,Dominican Republic,68802092020.9448,8797247.0,83.55734977,92.465424,Americas,Latin America and the Caribbean
2015,Ecuador,99290381000.0,12943791.0,80.17527227,94.515472,Americas,Latin America and the Caribbean
2015,"Egypt, Arab Rep.",332698041030.807,94016152.0,100.2537691,75.842621,Africa,Northern Africa
2015,El Salvador,23166030400.0,9334132.0,147.867953,87.648216,Americas,Latin America and the Caribbean
2015,Equatorial Guinea,13180195435.1132,533336.0,45.37527576,95.195663,Africa,Sub-Saharan Africa
2015,Estonia,22904456871.8171,1903545.0,144.7209464,99.823509,Europe,Northern Europe
2015,Eswatini,4020275298.0272603,941000.0,71.34133074,87.470192,Africa,Sub-Saharan Africa
2015,Ethiopia,64464547915.2698,42311629.0,42.3654191,49.031521000000005,Africa,Sub-Saharan Africa
2015,Fiji,4362128146.45309,965950.0,108.2722729,93.699997,Oceania,Melanesia
2015,Finland,232850788304.513,7396200.0,134.91875,100.0,Europe,Northern Europe
2015,France,2438207896251.84,66681000.0,103.4500397,99.0,Europe,Western Europe
2015,Gabon,14377324797.637,2821555.0,146.18130480000002,83.237877,Africa,Sub-Saharan Africa
2015,"Gambia, The",1394149615.0246801,2715672.0,137.32229630000003,55.572762,Africa,Sub-Saharan Africa
2015,Georgia,13993546747.7492,5550730.0,140.47061340000002,99.759621,Asia,Western Asia
2015,Germany,3381389338658.82,96360000.0,117.93245320000001,99.0,Europe,Western Europe
